"GEOID","NAME","BACH_PROP","WHITE_PROP","Pov_Prop","Vacancy_Rate","MEDHHINCE"
"421010008062","Block Group 2; Census Tract 8.06; Philadelphia County; Pennsylvania",34.6544715447154,64.5325203252033,10.6707317073171,26.1241970021413,212222
"421010009011","Block Group 1; Census Tract 9.01; Philadelphia County; Pennsylvania",29.9912816041848,50.3923278116826,24.5858761987794,15.0644202180377,64125
"421010009012","Block Group 2; Census Tract 9.01; Philadelphia County; Pennsylvania",27.1981242672919,45.9554513481829,29.6600234466589,15.6028368794326,38125
"421010009022","Block Group 2; Census Tract 9.02; Philadelphia County; Pennsylvania",26.4469453376206,67.604501607717,4.34083601286174,6.51162790697674,95625
"421010010011","Block Group 1; Census Tract 10.01; Philadelphia County; Pennsylvania",45.6196581196581,89.3162393162393,6.83760683760684,7.60667903525046,140313
"421010010013","Block Group 3; Census Tract 10.01; Philadelphia County; Pennsylvania",33.9664804469274,87.1508379888268,8.71508379888268,14.9368863955119,98988
"421010010021","Block Group 1; Census Tract 10.02; Philadelphia County; Pennsylvania",37.6282782212087,84.3785632839225,10.6043329532497,16.5369649805447,100967
"421010010022","Block Group 2; Census Tract 10.02; Philadelphia County; Pennsylvania",14.6666666666667,96,0,15.7894736842105,227300
"421010010024","Block Group 4; Census Tract 10.02; Philadelphia County; Pennsylvania",32.4921135646688,55.205047318612,13.6435331230284,0,145577
"421010011011","Block Group 1; Census Tract 11.01; Philadelphia County; Pennsylvania",21.4361140443506,81.7317845828934,9.29250263991552,0,121703
"421010011012","Block Group 2; Census Tract 11.01; Philadelphia County; Pennsylvania",31.5175097276265,60.9338521400778,10.5058365758755,2.23880597014925,57069
"421010011013","Block Group 3; Census Tract 11.01; Philadelphia County; Pennsylvania",26.2580054894785,50.6861848124428,17.7493138151876,0,46783
"421010011014","Block Group 4; Census Tract 11.01; Philadelphia County; Pennsylvania",22.4913494809689,82.6989619377163,4.26758938869665,0,98750
"421010011021","Block Group 1; Census Tract 11.02; Philadelphia County; Pennsylvania",38.3386581469649,79.7444089456869,6.19808306709265,6.80680680680681,117614
"421010011022","Block Group 2; Census Tract 11.02; Philadelphia County; Pennsylvania",31.5436241610738,78.9709172259508,0,13.5294117647059,120673
"421010011023","Block Group 3; Census Tract 11.02; Philadelphia County; Pennsylvania",21.1514392991239,53.8172715894869,0,8.60215053763441,211635
"421010012011","Block Group 1; Census Tract 12.01; Philadelphia County; Pennsylvania",27.4294670846395,85.423197492163,10.0313479623824,0,151125
"421010012012","Block Group 2; Census Tract 12.01; Philadelphia County; Pennsylvania",35.4182366239638,82.4415975885456,6.17935192162773,33.7135614702155,177841
"421010012013","Block Group 3; Census Tract 12.01; Philadelphia County; Pennsylvania",35.0356294536817,83.6104513064133,4.86935866983373,9.44444444444444,137132
"421010012014","Block Group 4; Census Tract 12.01; Philadelphia County; Pennsylvania",12.1019108280255,83.359872611465,11.3057324840764,1.97568389057751,120877
"421010012031","Block Group 1; Census Tract 12.03; Philadelphia County; Pennsylvania",48.330241187384,77.0871985157699,2.04081632653061,1.37551581843191,91919
"421010012032","Block Group 2; Census Tract 12.03; Philadelphia County; Pennsylvania",38.7944358578053,80.8346213292117,10.8191653786708,20.3619909502262,203000
"421010012041","Block Group 1; Census Tract 12.04; Philadelphia County; Pennsylvania",31.5896739130435,74.2527173913043,7.54076086956522,6.17173524150268,74058
"421010012042","Block Group 2; Census Tract 12.04; Philadelphia County; Pennsylvania",25.4491017964072,74.0518962075848,9.1816367265469,21.3967310549777,143990
"421010013011","Block Group 1; Census Tract 13.01; Philadelphia County; Pennsylvania",31.2883435582822,79.5793163891323,1.4022787028922,9.58904109589041,242773
"421010013012","Block Group 2; Census Tract 13.01; Philadelphia County; Pennsylvania",6.19158878504673,21.1448598130841,31.0747663551402,3.46420323325635,59636
"421010013021","Block Group 1; Census Tract 13.02; Philadelphia County; Pennsylvania",33.859649122807,86.4912280701754,6.66666666666667,25.8130081300813,64622
"421010013022","Block Group 2; Census Tract 13.02; Philadelphia County; Pennsylvania",30.6987399770905,74.914089347079,7.21649484536082,0,87778
"421010013023","Block Group 3; Census Tract 13.02; Philadelphia County; Pennsylvania",19.0940766550523,83.9024390243902,0.696864111498258,11.9369369369369,125567
"421010013024","Block Group 4; Census Tract 13.02; Philadelphia County; Pennsylvania",22.6002430133657,66.4641555285541,2.43013365735115,10.9307359307359,202426
"421010014001","Block Group 1; Census Tract 14; Philadelphia County; Pennsylvania",22.5831399845321,78.4222737819025,3.09358081979892,17.8477690288714,156557
"421010014002","Block Group 2; Census Tract 14; Philadelphia County; Pennsylvania",30.2690582959641,64.9103139013453,5.15695067264574,0,124352
