Line,StopName,Lon,Lat
G1,Richmond St & Clearfield St,-75.104019,39.981605
G1,Richmond St & Allegheny Av,-75.101544,39.982875
G1,Richmond St & Westmoreland St Loop,-75.099553,39.984253
T1,63rd-Malvern,-75.245957,39.983838
T1,Malvern Av & 63rd St,-75.247009,39.983697
T1,63rd St & Lebanon Av,-75.246661,39.980912
T1,63rd St & Jefferson St,-75.246184,39.97835
T1,Lansdowne Av & 63rd - FS,-75.244986,39.975332
T1,Lansdowne Av & 62nd St,-75.243651,39.975499
T1,Lansdowne Av & 61st St,-75.241879,39.975693
T1,Lansdowne Av & 60th St,-75.240378,39.975851
T1,Lansdowne Av & 59th St,-75.238653,39.976054
T1,Lansdowne Av & 58th St,-75.236904,39.976248
T1,Lansdowne Av & 57th St,-75.235403,39.976406
T1,Lansdowne Av & 56th St,-75.233761,39.976591
T1,Lansdowne Av & 55th St,-75.231858,39.976811
T1,Lansdowne Av & 54th St,-75.229908,39.977013
T1,Lansdowne Av & Lancaster Av,-75.227451,39.977295
T1,Lancaster Av & Bible Way,-75.226176,39.976855
T1,Lancaster Av & 50th St,-75.22259,39.975207
T1,Lancaster Av & Thompson St,-75.219747,39.973748
T1,Lancaster Av & Girard Av,-75.218615,39.973059
T1,Lancaster Av & 47th St,-75.216115,39.971555
T1,Lancaster Av & 45th St,-75.212991,39.969667
T1,Lancaster Av & 44th St,-75.211541,39.968772
T1,Lancaster Av & 43th St,-75.209878,39.967725
T1,Lancaster Av & 42nd St,-75.207662,39.966391
T1,Lancaster Av & 41st St,-75.205564,39.965093
T1,Lancaster Av & 40th St,-75.20244,39.963151
T1,40th St & Filbert St,-75.201901,39.957929
T1,Lancaster Av & Spring Garden St,-75.200353,39.962004
T1,Lancaster Av & 38th St,-75.197016,39.960267
T1,Lancaster Av & 36th St,-75.193786,39.958565
T1,36th St Trolley Portal Station,-75.194162,39.955335
T1,33rd St,-75.189523,39.954782
T1,Drexel Station at 30th St,-75.1835,39.954815
T1,22nd St,-75.176736,39.953962
T1,19th St,-75.171637,39.953327
T1,15th St/City Hall,-75.165369,39.952502
T1,13th St,-75.162559,39.952532
T1,13th St,-75.162559,39.952532
T1,15th St/City Hall,-75.165345,39.952672
T1,19th St,-75.171483,39.953425
T1,22nd St,-75.176571,39.954051
T1,Drexel Station at 30th St,-75.183169,39.954894
T1,33rd St,-75.189499,39.954871
T1,36th St Trolley Portal Station,-75.194233,39.955451
T1,36th St & Market St,-75.194113,39.956058
T1,36th St & Lancaster Av,-75.193585,39.958404
T1,Lancaster Av & Powelton Av,-75.195542,39.959631
T1,Lancaster Av & 38th St,-75.196721,39.96024
T1,Lancaster Av & Spring Garden St,-75.199952,39.961923
T1,Lancaster Av & Haverford Av,-75.201826,39.9629
T1,40th St & Filbert St,-75.201901,39.957929
T1,Lancaster Av & Wallace St,-75.203371,39.963857
T1,Lancaster Av & 41st St,-75.205386,39.965102
T1,Lancaster Av & 42nd St,-75.207485,39.966399
T1,Lancaster Av & Parrish St,-75.20956,39.96767
T1,Lancaster Av & Ogden St,-75.210998,39.968565
T1,Lancaster Av & Westminster St,-75.212283,39.969353
T1,Lancaster Av & 47th St,-75.215938,39.971564
T1,Lancaster Av & 48th St,-75.217035,39.972244
T1,Lancaster Av & 49th St,-75.219464,39.973703
T1,Lancaster Av & 50th St,-75.222389,39.975234
T1,Lancaster Av & 52nd St,-75.2266,39.977186
T1,Lansdowne Av & 54th St,-75.229755,39.977129
T1,Lansdowne Av & 55th St,-75.231704,39.976927
T1,Lansdowne Av & 56th St,-75.233607,39.976707
T1,Lansdowne Av & 57th St,-75.235249,39.976522
T1,Lansdowne Av & 58th St,-75.23675,39.976363
T1,Lansdowne Av & 59th St,-75.238499,39.97617
T1,Lansdowne Av & 60th St,-75.240153,39.975976
T1,Lansdowne Av & 61st St,-75.241725,39.975809
T1,Lansdowne Av & 62nd St,-75.243497,39.975615
T1,63rd St & Lansdowne Av - FS,-75.245529,39.975582
T1,63rd St & Jefferson St,-75.24603,39.978234
T1,63rd St & Columbia Av,-75.246461,39.980582
T1,63rd-Malvern,-75.245957,39.983838
206,Paoli Regional Rail Station,-75.484057,40.042367
206,Lancaster Av & Plank Av,-75.488006,40.041821
206,Lancaster Av & Cedar Hollow Rd,-75.492735,40.041649
206,Lancaster Av & Central Av,-75.498316,40.041994
206,Industrial Blvd & Paoli Hospital,-75.499335,40.044261
206,Industrial Blvd & West Industrial Blvd,-75.503925,40.046552
206,Cedar Hollow Rd & Jacqueline Dr,-75.498109,40.04834
206,Cedar Hollow Rd & Vanguard Blvd,-75.499094,40.051437
206,Cedar Hollow Rd & Swedesford Rd - MBNS,-75.510593,40.056036
206,Chesterfield Pkwy & 300,-75.514394,40.060264
206,Chesterfield Pkwy & 600,-75.515825,40.059611
206,Chesterfield Pkwy & Swedesford Rd - MBNS,-75.516639,40.057879
206,Swedesford Rd & Valley Stream Pkwy,-75.517523,40.055951
206,Swedesford Rd & Liberty Blvd - MBNS,-75.520336,40.054949
206,Liberty Blvd & Swedesford Rd - MBFS,-75.523909,40.055875
206,Liberty Blvd & Morehall Rd - MBNS,-75.526581,40.055114
206,Morehall Rd & Liberty Blvd - FS,-75.528189,40.054756
206,Morehall Rd & Valley Stream Pkwy - FS,-75.528996,40.057317
206,Great Valley Pkwy & Morehall Rd - MBFS,-75.537107,40.063486
206,Great Valley Pkwy & 27 43 Bldg,-75.54075,40.06392
206,Great Valley Pkwy & 45 67 Bldg,-75.543115,40.063329
206,Great Valley Pkwy & 77 123 Bldg,-75.545467,40.062738
206,Great Valley Pkwy & 125 Bldg,-75.546246,40.061711
206,Great Valley Pkwy & 155 Bldg,-75.544718,40.060356
206,Great Valley Pkwy & 201 Bldg,-75.543583,40.060616
206,Great Valley Pkwy & 257 275 Bldg,-75.541254,40.061171
206,Great Valley Pkwy & Technology Dr,-75.538713,40.062048
206,Morehall Rd & Great Valley - FS,-75.535488,40.064603
206,Morehall Rd & Atwater Dr - FS,-75.536248,40.066647
206,General Warren Blvd & Otis - FS,-75.539465,40.074659
206,General Warren Blvd & Otis - FS,-75.539465,40.074659
206,General Warren Blvd & Morehall Rd,-75.537274,40.072947
206,Morehall Rd & Flat Rd,-75.536425,40.066396
206,Great Valley Pkwy & Morehall Rd - MBFS,-75.537107,40.063486
206,Great Valley Pkwy & 27 43 Bldg,-75.54075,40.06392
206,Great Valley Pkwy & 45 67 Bldg,-75.543115,40.063329
206,Great Valley Pkwy & 77 123 Bldg,-75.545467,40.062738
206,Great Valley Pkwy & 125 Bldg,-75.546246,40.061711
206,Great Valley Pkwy & 155 Bldg,-75.544718,40.060356
206,Great Valley Pkwy & 201 Bldg,-75.543583,40.060616
206,Great Valley Pkwy & 257 275 Bldg,-75.541254,40.061171
206,Great Valley Pkwy & Technology Dr,-75.538713,40.062048
206,Great Valley Pkwy & Morehall Rd,-75.535735,40.063648
206,Morehall Rd & Valley Stream Pkwy - FS,-75.529173,40.057031
206,Liberty Blvd & Morehall Rd - MBFS,-75.526852,40.054721
206,Liberty Blvd & Swedesford Rd - MBNS,-75.523873,40.055634
206,Swedesford Rd & Liberty Blvd - MBFS,-75.519402,40.054941
206,Swedesford Rd & Valley Stream Pkwy,-75.517783,40.055522
206,Chesterfield Pkwy & Swedesford Rd - MBFS,-75.516426,40.057879
206,Chesterfield Pkwy & 600,-75.515742,40.059477
206,Chesterfield Pkwy & 300,-75.514465,40.060067
206,Cedar Hollow Rd & Swedesford Rd - MBFS,-75.51064,40.055857
206,Cedar Hollow Rd & Vanguard Blvd - FS,-75.499224,40.051321
206,Cedar Hollow Rd & Industrial Blvd,-75.498074,40.047992
206,Industrial Blvd & West Industrial Blvd,-75.504055,40.046632
206,Industrial Blvd & Paoli Hospital,-75.499548,40.044225
206,Lancaster Av & Cedar Hollow Rd,-75.493184,40.041506
206,Lancaster Av & Plank Av,-75.488218,40.041678
206,Paoli Regional Rail Station,-75.484057,40.042367
BSL,Fern Rock Transit Center,-75.136757,40.04185
BSL,Olney Transit Center,-75.144749,40.039066
BSL,Logan,-75.14658,40.030618
BSL,Wyoming,-75.147904,40.02456
BSL,Hunting Park,-75.149577,40.016933
BSL,Erie,-75.15125,40.009234
BSL,Broad-Allegheny,-75.152922,40.001589
BSL,North Philadelphia,-75.154629,39.993944
BSL,Susquehanna-Dauphin,-75.156109,39.987031
BSL,Cecil B. Moore,-75.157925,39.978672
BSL,Broad-Girard,-75.159488,39.971473
BSL,Fairmount,-75.160461,39.967039
BSL,Chinatown,-75.152795,39.955028
BSL,8th-Market,-75.153636,39.951138
