number_of_bathrooms,number_of_bedrooms,total_livable_area,total_area,sale_price,sale_date,central_air,year_built,shape,location,log_sale_price
2,4,1442,1470,230000,2024-10-15T04:00:00Z,N,1930,SRID=2272;POINT(2695525.68980458 258088.481364594),3850 N 16TH ST,12.345834587905333
1,3,1360,2831,230000,2024-12-14T05:00:00Z,NA,1965,SRID=2272;POINT(2669250.50480103 216857.090148),8129 BUIST AVE,12.345834587905333
1,3,972,908,50000,2024-12-03T05:00:00Z,N,1940,SRID=2272;POINT(2693408.62253756 254859.5869752),3233 N 20TH ST,10.819778284410283
1,3,1016,952,90000,2024-09-30T04:00:00Z,Y,1888,SRID=2272;POINT(2709972.01799983 252350.920839616),3475 AMBER ST,11.407564949312402
1,3,1062,938,114250,2024-07-26T04:00:00Z,Y,1925,SRID=2272;POINT(2672104.02945166 235150.204337615),5836 PEMBERTON ST,11.646144308756451
1,3,1480,1576,215000,2024-12-03T05:00:00Z,N,1925,SRID=2272;POINT(2669887.66175774 243490.372385854),735 N 64TH ST,12.2783933071098
1,3,972,912,79600,2024-11-05T05:00:00Z,NA,1925,SRID=2272;POINT(2672666.22348107 234011.155807946),821 S ALDEN ST,11.284769371832475
0,0,2253,3327,172000,2024-12-10T05:00:00Z,NA,1925,SRID=2272;POINT(2669534.34693191 244972.634389661),1009 N 64TH ST,12.05524975579559
1,3,1216,768,150000,2024-12-02T05:00:00Z,N,1925,SRID=2272;POINT(2687440.40411917 227926.246609446),1755 S TAYLOR ST,11.918390573078392
1,3,1080,910,20000,2024-10-31T04:00:00Z,N,1920,SRID=2272;POINT(2706188.22837389 249908.036218987),2063 E CAMBRIA ST,9.903487552536127
2,3,1302,652,770000,2024-10-29T04:00:00Z,Y,1965,SRID=2272;POINT(2694547.8562529 233267.344822744),413 S JESSUP ST,13.554145793829866
1,3,846,1138,29100,2024-12-18T05:00:00Z,NA,1920,SRID=2272;POINT(2678026.37617696 227304.772102141),2502 S ALDEN ST,10.278493453159584
1,3,1116,903,83000,2024-10-07T04:00:00Z,N,1925,SRID=2272;POINT(2695799.25242345 274487.284745564),2014 68TH AVE,11.326595886778735
1,3,1224,1791,228000,2024-07-02T04:00:00Z,Y,1955,SRID=2272;POINT(2747487.47339629 289062.736172524),12639 BISCAYNE DR,12.337100907936577
2,2,984,700,210000,2024-01-16T05:00:00Z,Y,1875,SRID=2272;POINT(2703130.0319876 246067.444166337),2214 TULIP ST,12.254862809699606
1,2,896,1600,230000,2024-12-11T05:00:00Z,N,1955,SRID=2272;POINT(2679775.72790423 261046.246877614),353 SALAIGNAC ST,12.345834587905333
1,3,1170,979,218000,2024-12-13T05:00:00Z,NA,1930,SRID=2272;POINT(2696499.2993349 259558.549806524),1427 W JEROME ST,12.292250341771226
0,0,1465,8460,211000,2024-06-04T04:00:00Z,NA,1955,SRID=2272;POINT(2735299.85161404 278682.705751785),9330 ACADEMY RD,12.259613412458204
1,3,984,630,78000,2024-05-05T04:00:00Z,N,1925,SRID=2272;POINT(2689801.61072682 227898.787128679),1937 WATKINS ST,11.26446410567173
3,4,1973,5250,363000,2024-12-06T05:00:00Z,N,1925,SRID=2272;POINT(2670569.72621818 245744.168659743),6136 W COLUMBIA AVE,12.802158113246987
1,3,1000,700,66000,2024-10-16T04:00:00Z,NA,1925,SRID=2272;POINT(2704432.57211749 248277.243959483),2604 COLLINS ST,11.097410021008562
1,3,808,672,25400,2024-11-26T05:00:00Z,NA,1920,SRID=2272;POINT(2697212.32226718 250138.062179077),2510 N ALDER ST,10.142504453006628
1,4,1840,2314,140000,2024-03-05T05:00:00Z,N,1905,SRID=2272;POINT(2688599.76731564 268747.323099857),6122 BAYNTON ST,11.84939770159144
1,3,1133,795,22300,2024-03-04T05:00:00Z,NA,1920,SRID=2272;POINT(2676349.6351073 228984.177646903),2057 S CECIL ST,10.01234195744821
0,3,1511,5175,52000,2024-09-10T04:00:00Z,N,1950,SRID=2272;POINT(2690422.72058388 281767.786616016),8216 BAYARD ST,10.858998997563564
2,6,2427,3240,340000,2024-12-05T05:00:00Z,N,1925,SRID=2272;POINT(2669684.19761961 244127.952166523),821 N 64TH ST,12.736700896592344
1,3,968,631,24000,2024-12-06T05:00:00Z,NA,1935,SRID=2272;POINT(2702469.33841881 251150.627792398),2820 N LEE ST,10.085809109330082
1,3,1036,676,20000,2024-08-27T04:00:00Z,NA,1915,SRID=2272;POINT(2693724.14751745 250129.224947695),2428 N BOUVIER ST,9.903487552536127
1,3,1088,1040,152500,2024-11-22T05:00:00Z,N,1925,SRID=2272;POINT(2677748.41781269 226680.185985212),5837 THEODORE ST,11.934919875029603
