number_of_bathrooms,number_of_bedrooms,total_livable_area,total_area,sale_price,sale_date,central_air,year_built,shape,location,log_sale_price
1,1,707,1,243000,2024-06-29T04:00:00Z,Y,1900,SRID=2272;POINT(2694789.33084083 234054.571112998),1035 SPRUCE ST,12.400816722322686
1,4,1636,2011,290000,2024-07-10T04:00:00Z,Y,1910,SRID=2272;POINT(2687959.38479533 270162.136652928),144 E DUVAL ST,12.577636201962656
1,3,802,600,40000,2024-07-15T04:00:00Z,N,1929,SRID=2272;POINT(2693130.48791846 253495.3533476),2000 W MAYFIELD ST,10.596634733096073
1,2,740,864,25000,2024-07-08T04:00:00Z,NA,1925,SRID=2272;POINT(2674956.38394096 238764.069894153),19 N CONESTOGA ST,10.126631103850338
2,2,1015,1,435000,2024-07-16T04:00:00Z,Y,2019,SRID=2272;POINT(2700997.74386734 242766.975014716),1232 N FRONT ST,12.983101310070822
1,3,1152,1064,160000,2024-07-17T04:00:00Z,N,1925,SRID=2272;POINT(2671260.97042581 242696.183685746),1326 N ROBINSON ST,11.982929094215963
1,3,1322,1085,432000,2024-06-24T04:00:00Z,Y,1900,SRID=2272;POINT(2704484.61991764 244756.852305382),2612 E DAUPHIN ST,12.976180867226248
2,4,1000,3623,335000,2024-07-19T04:00:00Z,NA,1956,SRID=2272;POINT(2723691.70116831 280865.069098414),1800 EVARTS ST,12.721885810807203
1,3,1200,930,302125,2024-06-21T04:00:00Z,Y,1915,SRID=2272;POINT(2696403.79624781 226999.139822987),1708 S 5TH ST,12.618596118005785
1,2,910,532,305000,2024-07-09T04:00:00Z,Y,1920,SRID=2272;POINT(2700942.34323466 245585.698629663),1811 MUTTER ST,12.628067055589549
1,4,1510,1800,195000,2024-06-17T04:00:00Z,N,1915,SRID=2272;POINT(2674129.23148594 230611.009108911),5823 FLORENCE AVE,12.180754837545884
0,0,1536,965,537500,2024-07-09T04:00:00Z,NA,1960,SRID=2272;POINT(2696602.29278569 231890.148459749),727 S MARSHALL ST,13.194684038983954
1,2,1066,1196,100000,2024-06-21T04:00:00Z,N,1920,SRID=2272;POINT(2710179.93122308 253278.161015101),3561 JOYCE ST,11.512925464970229
1,3,1734,1420,360000,2024-06-21T04:00:00Z,Y,1900,SRID=2272;POINT(2676141.09221467 262348.844181972),4330 CRESSON ST,12.793859310432293
1,3,1223,1131,180000,2024-07-02T04:00:00Z,N,1888,SRID=2272;POINT(2709292.05315132 251856.766681537),3351 AMBER ST,12.100712129872347
2,2,2160,1900,290000,2024-07-03T04:00:00Z,Y,2006,SRID=2272;POINT(2718500.43768945 255424.878981698),4533 MILLER ST,12.577636201962656
1,3,1290,1028,533000,2024-07-18T04:00:00Z,N,1923,SRID=2272;POINT(2690746.38817786 242593.46103769),839 N BEECHWOOD ST,13.186276703147982
2,4,2996,5242,355000,2024-07-18T04:00:00Z,N,1925,SRID=2272;POINT(2670949.3899053 248286.863744066),5914 WOODBINE AVE,12.779873068457553
2,3,1612,1280,195000,2024-07-02T04:00:00Z,Y,1925,SRID=2272;POINT(2671794.02946219 248396.920025608),2224 N WANAMAKER ST,12.180754837545884
1,4,1556,980,357500,2024-07-08T04:00:00Z,N,1920,SRID=2272;POINT(2704256.24102941 246882.229601329),2224 E CUMBERLAND ST,12.7868906411162
1,3,882,765,158000,2024-07-11T04:00:00Z,N,1915,SRID=2272;POINT(2688017.84681379 248224.029186783),1951 N MYRTLEWOOD ST,11.970350312009105
0,0,2355,1195,136000,2024-06-20T04:00:00Z,NA,1930,SRID=2272;POINT(2694538.76157111 256656.11224835),1747 W VENANGO ST,11.820410164718188
1,3,960,1101,80000,2024-06-12T04:00:00Z,NA,1920,SRID=2272;POINT(2676573.91568061 225373.858160891),2551 S 62ND ST,11.289781913656018
1,1,850,1,305000,2024-06-18T04:00:00Z,Y,1870,SRID=2272;POINT(2698665.06357283 236998.825417763),301 RACE ST,12.628067055589549
1,3,1188,1211,192000,2024-07-17T04:00:00Z,N,1940,SRID=2272;POINT(2716579.63062346 263771.800519391),1380 SANGER ST,12.165250651009918
2,5,3649,8250,535000,2024-06-17T04:00:00Z,N,1925,SRID=2272;POINT(2668847.73913741 247420.05111512),6332 DREXEL RD,13.190022025878143
4,4,2496,3250,295000,2024-07-19T04:00:00Z,N,1940,SRID=2272;POINT(2703004.93234188 266241.789557484),5441 N AMERICAN ST,12.594730635321957
2,4,2280,1894,575000,2024-07-18T04:00:00Z,Y,2010,SRID=2272;POINT(2696769.28834164 230495.739294071),516 MONTROSE ST,13.262125319779487
5,6,3179,1615,435000,2024-07-15T04:00:00Z,Y,1915,SRID=2272;POINT(2676449.84886614 246126.569966331),5158 PARKSIDE AVE,12.983101310070822
0,0,1152,2174,100000,2024-07-17T04:00:00Z,NA,1956,SRID=2272;POINT(2731218.10559899 277362.060264563),2740 MAXWELL ST,11.512925464970229
2,3,1368,1434,175000,2024-06-27T04:00:00Z,Y,1949,SRID=2272;POINT(2665920.99563674 242976.90240301),7450 BROCKTON RD,12.072541252905651
1,3,1350,3182,300000,2024-07-19T04:00:00Z,N,1960,SRID=2272;POINT(2715916.3807598 276121.741511399),7325 TABOR AVE,12.611537753638338
2,3,1439,689,423500,2024-07-03T04:00:00Z,Y,1920,SRID=2272;POINT(2699164.27579183 244147.112770821),407 JEFFERSON ST,12.956308793074246
2,3,1216,1152,130000,2024-07-02T04:00:00Z,N,1920,SRID=2272;POINT(2707955.60785527 253971.172639668),3455 I ST,11.77528972943772
1,2,784,637,79000,2024-06-12T04:00:00Z,N,1920,SRID=2272;POINT(2705713.70999234 253836.088383329),617 E THAYER ST,11.27720313144916
2,5,2289,1680,574000,2024-07-12T04:00:00Z,Y,1925,SRID=2272;POINT(2677222.44956433 234367.748900164),4920 WALTON AVE,13.260384675301703
2,3,1432,1224,210000,2024-06-21T04:00:00Z,N,1925,SRID=2272;POINT(2672889.08769184 236511.270532472),5727 PINE ST,12.254862809699606
1,3,1170,1500,369900,2024-07-12T04:00:00Z,Y,1950,SRID=2272;POINT(2679259.10115895 265131.228927752),572 MARTIN ST,12.820987977820545
2,4,1440,2350,270000,2024-07-18T04:00:00Z,Y,1920,SRID=2272;POINT(2721052.12397937 259961.015199508),5709 TORRESDALE AVE,12.506177237980511
1,2,948,587,370000,2024-07-19T04:00:00Z,Y,1923,SRID=2272;POINT(2688766.96089936 243117.457608484),868 N BAILEY ST,12.821258284620408
1,2,1108,777,385000,2024-07-18T04:00:00Z,NA,1875,SRID=2272;POINT(2703882.87282417 245214.8943757),2218 GAUL ST,12.86099861326992
3,4,1671,1107,399000,2024-06-21T04:00:00Z,Y,1875,SRID=2272;POINT(2704719.50629143 247263.752660156),2218 E HAZZARD ST,12.896716695872
2,3,1560,1008,555000,2024-06-20T04:00:00Z,Y,1915,SRID=2272;POINT(2694385.57617199 229945.912531921),1019 ANNIN ST,13.226723392728571
1,3,948,1127,80000,2024-07-01T04:00:00Z,N,1920,SRID=2272;POINT(2705730.3068817 250714.974483568),1916 E MONMOUTH ST,11.289781913656018
2,3,1111,1119,230000,2024-07-19T04:00:00Z,N,1920,SRID=2272;POINT(2677092.2566017 225201.043559236),2638 S DEWEY ST,12.345834587905333
1,3,1354,1328,190000,2024-07-11T04:00:00Z,N,1925,SRID=2272;POINT(2676615.69233324 253256.538520692),2721 N 46TH ST,12.154779351142624
2,3,2422,2884,485000,2024-07-12T04:00:00Z,Y,2023,SRID=2272;POINT(2743485.95792409 291384.86195657),3114 BYBERRY RD,13.091904169919621
1,3,1074,998,140000,2024-07-09T04:00:00Z,NA,1940,SRID=2272;POINT(2720314.76746 263579.590170092),4035 CRESTON ST,11.84939770159144
1,3,1088,675,280000,2024-07-08T04:00:00Z,Y,2024,SRID=2272;POINT(2689622.22471591 244601.402937892),1319 N 25TH ST,12.542544882151386
2,3,1470,1045,275000,2024-07-18T04:00:00Z,Y,1920,SRID=2272;POINT(2675137.59765009 237607.654022408),133 S 54TH ST,12.524526376648708
1,3,896,1158,56750,2024-06-28T04:00:00Z,NA,1925,SRID=2272;POINT(2720080.82614355 259603.407335513),2082 FRALEY ST,10.94641093534365
1,2,974,672,265000,2024-06-21T04:00:00Z,N,1920,SRID=2272;POINT(2694694.2572533 225710.732444733),2029 S DARIEN ST,12.487485104968359
1,5,2025,4200,400000,2024-06-25T04:00:00Z,N,1900,SRID=2272;POINT(2678642.81758917 263914.646940948),4323 MITCHELL ST,12.89921982609012
1,3,1080,900,60000,2024-07-08T04:00:00Z,0,1925,SRID=2272;POINT(2699776.8868971 259747.911688274),4248 N 7TH ST,11.002099841204238
1,3,1450,1280,60000,2024-07-03T04:00:00Z,N,1925,SRID=2272;POINT(2675780.04915143 241150.600986298),443 N 53RD ST,11.002099841204238
1,3,1142,1990,240000,2024-07-19T04:00:00Z,NA,1945,SRID=2272;POINT(2721969.90551505 263764.183796809),6253 TACKAWANNA ST,12.388394202324129
1,3,1344,1040,62500,2024-07-08T04:00:00Z,N,1925,SRID=2272;POINT(2699156.92262089 253165.505530985),621 W CLEARFIELD ST,11.042921835724492
3,4,1444,1566,325000,2024-06-27T04:00:00Z,Y,1920,SRID=2272;POINT(2671121.83651728 234639.166028462),730 S 60TH ST,12.691580461311874
1,3,1036,928,305000,2024-07-15T04:00:00Z,Y,1910,SRID=2272;POINT(2675676.3533596 235257.923669806),5210 HAZEL AVE,12.628067055589549
1,3,1230,1688,140000,2024-07-10T04:00:00Z,N,1920,SRID=2272;POINT(2673930.7434003 230573.992273178),5846 PENTRIDGE ST,11.84939770159144
1,2,880,2040,300000,2024-06-24T04:00:00Z,Y,1965,SRID=2272;POINT(2740917.91396225 282340.399393343),3365 MORRELL AVE,12.611537753638338
1,4,1552,4987,270000,2024-07-16T04:00:00Z,NA,1945,SRID=2272;POINT(2712515.64837957 263052.94984886),948 FILLMORE ST,12.506177237980511
1,3,1242,1350,60000,2024-07-02T04:00:00Z,NA,1930,SRID=2272;POINT(2707758.0687688 260725.093741721),4618 PENHURST ST,11.002099841204238
1,3,1024,1120,151000,2024-05-28T04:00:00Z,NA,1950,SRID=2272;POINT(2730882.87120494 267328.598780945),4623 ASHVILLE ST,11.925035115797062
2,3,1032,1184,219000,2024-07-08T04:00:00Z,NA,1930,SRID=2272;POINT(2691932.10919757 261250.688390779),4625 FERNHILL RD,12.296827008798639
2,4,1917,3645,385000,2024-07-19T04:00:00Z,N,1925,SRID=2272;POINT(2689221.17266473 276766.878241872),831 DORSET ST,12.86099861326992
2,3,1176,1605,113000,2024-06-07T04:00:00Z,N,1950,SRID=2272;POINT(2691586.16576479 279978.571470675),7939 FAYETTE ST,11.635143097694478
1,3,960,1251,200000,2024-07-17T04:00:00Z,Y,1920,SRID=2272;POINT(2674551.15566832 222741.845137702),2639 CARROLL ST,12.206072645530174
1,2,974,1007,110000,2024-07-19T04:00:00Z,NA,1920,SRID=2272;POINT(2720547.39907075 258166.722679499),2236 FRALEY ST,11.608235644774552
1,3,1568,1878,425000,2024-07-15T04:00:00Z,Y,1920,SRID=2272;POINT(2678124.11307718 261493.741769847),4054 BOONE ST,12.959844447906553
1,3,840,698,29800,2024-07-15T04:00:00Z,N,1925,SRID=2272;POINT(2694777.96009848 253944.325187882),3129 N CHADWICK ST,10.302263672493496
1,3,1120,900,365000,2024-06-26T04:00:00Z,Y,1949,SRID=2272;POINT(2697996.45246042 226457.057613159),133 MOORE ST,12.80765263256463
2,4,2970,1070,980000,2024-07-02T04:00:00Z,Y,1986,SRID=2272;POINT(2698451.29379802 231742.988754584),717 S PHILIP ST,13.795307850646754
1,3,1404,1280,65000,2024-07-02T04:00:00Z,NA,1925,SRID=2272;POINT(2673703.73831587 235873.845173941),443 S 56TH ST,11.082142548877775
1,3,952,623,98800,2024-07-16T04:00:00Z,N,1920,SRID=2272;POINT(2706028.88871578 254019.704853448),3413 KEIM ST,11.50085288373596
1,3,1446,1873,135000,2024-07-18T04:00:00Z,N,1925,SRID=2272;POINT(2694966.7622872 277547.808942767),7235 SOMMERS RD,11.813030057420567
2,3,1592,3281,349000,2024-07-17T04:00:00Z,Y,1950,SRID=2272;POINT(2716342.28165447 273989.321987144),921 FRIENDSHIP ST,12.762827201184564
2,2,1200,520,595000,2024-07-10T04:00:00Z,Y,1880,SRID=2272;POINT(2691949.60670874 233626.688643738),1632 WAVERLY ST,13.296316684527767
2,3,1120,700,389000,2024-07-08T04:00:00Z,Y,1920,SRID=2272;POINT(2695499.24770014 227388.746337567),1633 S BEULAH ST,12.871334622600584
2,2,1690,1,271000,2024-06-07T04:00:00Z,Y,1900,SRID=2272;POINT(2699122.29916938 236749.017896926),212-20 RACE ST,12.509874099861838
1,3,1066,1013,242500,2024-07-12T04:00:00Z,Y,1925,SRID=2272;POINT(2677410.20643153 232357.040074754),1046 S PAXON ST,12.398756989359676
2,4,1528,1667,179000,2024-07-18T04:00:00Z,N,1925,SRID=2272;POINT(2673822.82858006 243691.229330065),1451 N 56TH ST,12.095141084822892
2,3,1726,4106,360000,2024-07-16T04:00:00Z,Y,1950,SRID=2272;POINT(2718085.86168698 270890.746209762),1420-22 LONGSHORE AVE,12.793859310432293
1,4,1134,644,335000,2024-06-14T04:00:00Z,Y,1894,SRID=2272;POINT(2704217.46133431 244591.377893388),852 ALMOND ST,12.721885810807203
1,4,1696,1760,590000,2024-07-17T04:00:00Z,NA,1925,SRID=2272;POINT(2679428.2936044 235101.076960226),4535 LARCHWOOD AVE,13.287877815881902
2,2,1698,641,670000,2024-06-27T04:00:00Z,Y,1980,SRID=2272;POINT(2694467.63849662 233860.514703291),306 QUINCE ST,13.415032991367148
1,3,852,920,114900,2024-07-02T04:00:00Z,NA,1925,SRID=2272;POINT(2672722.03637287 234418.611843515),735 S ALDEN ST,11.651817463836847
1,3,1379,1583,250000,2024-06-24T04:00:00Z,N,1925,SRID=2272;POINT(2713385.21090368 264908.05582341),5222 E ROOSEVELT BLVD,12.429216196844383
1,2,800,658,238000,2024-06-26T04:00:00Z,Y,1920,SRID=2272;POINT(2688016.05057673 226089.668634034),2246 WINTON ST,12.380025952653611
1,4,2250,7541,550000,2024-06-18T04:00:00Z,N,1925,SRID=2272;POINT(2688585.98715161 266355.385700521),124 W RITTENHOUSE ST,13.217673557208654
1,3,1024,960,60000,2024-07-17T04:00:00Z,NA,1920,SRID=2272;POINT(2670799.75325345 232649.958170994),1209 S EDGEWOOD ST,11.002099841204238
2,3,1320,960,380000,2024-07-09T04:00:00Z,Y,1923,SRID=2272;POINT(2688522.09895158 230953.622070496),1126 S 23RD ST,12.84792653170257
3,3,1660,1850,354000,2024-07-18T04:00:00Z,Y,1925,SRID=2272;POINT(2687932.48616955 273550.921843046),324 E HORTTER ST,12.777052192115912
1,3,1036,616,55000,2024-07-02T04:00:00Z,N,1930,SRID=2272;POINT(2702506.33813566 253687.568812877),3252 HOPE ST,10.915088464214607
1,3,1435,2758,420000,2024-07-15T04:00:00Z,Y,1890,SRID=2272;POINT(2682794.76575601 278018.971835476),7711 GERMANTOWN AVE,12.948009990259552
2,3,1224,5446,370000,2024-07-18T04:00:00Z,Y,1960,SRID=2272;POINT(2731296.24113743 295131.003731582),810 FOSTER ST,12.821258284620408
2,4,1830,7209,26200,2023-12-05T05:00:00Z,N,1959,SRID=2272;POINT(2673926.2028693 274159.427795437),7906 CADILLAC LN,10.173514689749188
1,3,1060,631,275000,2024-07-17T04:00:00Z,Y,1920,SRID=2272;POINT(2710317.16599164 247944.889309894),3188 SALMON ST,12.524526376648708
2,4,1498,975,180000,2024-06-27T04:00:00Z,Y,1915,SRID=2272;POINT(2694348.5358973 247887.553871664),1537 FONTAIN ST,12.100712129872347
3,3,1674,2625,395000,2024-07-17T04:00:00Z,Y,1998,SRID=2272;POINT(2722648.84312293 275811.993277884),2107 GRIFFITH ST,12.886641043883259
2,3,1700,3080,340000,2024-07-12T04:00:00Z,NA,1965,SRID=2272;POINT(2721792.60907052 275156.468417159),2026 HARTEL AVE,12.736700896592344
2,3,2448,858,850000,2024-06-24T04:00:00Z,Y,2013,SRID=2272;POINT(2698815.45773074 242160.829281783),1018 N LEITHGOW ST,13.652991628466498
2,3,1060,854,40000,2024-06-25T04:00:00Z,Y,1920,SRID=2272;POINT(2672671.46035375 240343.080334825),238 N HOBART ST,10.596634733096073
1,2,1148,1478,401000,2024-07-03T04:00:00Z,Y,1875,SRID=2272;POINT(2702744.77129816 246781.987417223),2224 TRENTON AVE,12.901716706288706
2,3,1770,541,410000,2024-07-16T04:00:00Z,Y,1915,SRID=2272;POINT(2693594.49634025 228746.982686815),1411 S 12TH ST,12.92391243868049
1,4,1600,1264,65000,2024-07-12T04:00:00Z,N,1940,SRID=2272;POINT(2697005.10416839 256322.90878411),1233 W VENANGO ST,11.082142548877775
2,3,1024,984,240000,2024-06-18T04:00:00Z,Y,1920,SRID=2272;POINT(2670613.4812288 232512.193065393),1229 S MILLICK ST,12.388394202324129
1,3,1170,1874,250000,2024-07-15T04:00:00Z,NA,1950,SRID=2272;POINT(2721400.08197924 266138.230346227),2935 HELLERMAN ST,12.429216196844383
1,3,1096,900,62500,2024-06-10T04:00:00Z,Y,1925,SRID=2272;POINT(2692769.5948061 248002.807736388),1906 FONTAIN ST,11.042921835724492
1,3,952,1088,245000,2024-07-02T04:00:00Z,N,1920,SRID=2272;POINT(2711165.34045564 249843.625369666),2549 E ONTARIO ST,12.409013489526863
1,3,968,651,285000,2024-07-09T04:00:00Z,Y,1920,SRID=2272;POINT(2690616.08836072 223706.114861447),2603 S CHADWICK ST,12.560244459250788
3,4,3101,918,699000,2024-06-17T04:00:00Z,Y,2024,SRID=2272;POINT(2689734.37794795 223605.931452373),2616 S 18TH ST,13.457406021215947
2,3,960,984,225000,2024-07-12T04:00:00Z,Y,1925,SRID=2272;POINT(2674531.85368843 235289.468331554),542 S YEWDALL ST,12.323855681186558
1,2,812,1200,210000,2024-07-16T04:00:00Z,N,1920,SRID=2272;POINT(2717801.25725929 252277.068575072),2865 HEDLEY ST,12.254862809699606
2,3,1824,1911,335000,2024-06-28T04:00:00Z,Y,1920,SRID=2272;POINT(2674921.34691128 229562.277068144),5836 SPRINGFIELD AVE,12.721885810807203
1,3,1220,936,130000,2024-05-23T04:00:00Z,NA,1940,SRID=2272;POINT(2717584.61629345 264091.679969202),5714 LEONARD ST,11.77528972943772
2,4,1816,1813,439000,2024-07-10T04:00:00Z,NA,1925,SRID=2272;POINT(2678191.00617826 235216.48737364),455 S 48TH ST,12.992254692057308
1,2,1024,714,430000,2024-07-12T04:00:00Z,Y,2019,SRID=2272;POINT(2695975.60960315 228194.218077958),616 WILDER ST,12.971540487669746
1,2,896,1568,310000,2024-07-12T04:00:00Z,N,1946,SRID=2272;POINT(2686534.29560647 258162.47661185),3411 BARCLAY ST,12.644327576461329
2,3,1260,915,205000,2024-07-12T04:00:00Z,Y,1920,SRID=2272;POINT(2697083.48653896 258956.092537054),1321 KERBAUGH ST,12.230765258120545
1,5,2090,1008,50000,2024-07-02T04:00:00Z,N,1915,SRID=2272;POINT(2696563.38411671 227317.239292412),1623 S 5TH ST,10.819778284410283
1,3,910,672,67000,2024-07-17T04:00:00Z,NA,1920,SRID=2272;POINT(2691146.66438016 227143.109253288),1828 S BANCROFT ST,11.112447898373103
2,3,1568,1200,793000,2024-06-26T04:00:00Z,Y,1920,SRID=2272;POINT(2690238.40074238 240517.446315443),2204 BRANDYWINE ST,13.583578500616985
1,3,1449,3083,350500,2024-07-02T04:00:00Z,Y,1974,SRID=2272;POINT(2740676.28979331 284523.240133635),10827 PERRIN RD,12.767115985456782
1,3,1153,2451,285000,2024-07-12T04:00:00Z,Y,1965,SRID=2272;POINT(2741946.56846186 290951.569618908),3124 BIRCH RD,12.560244459250788
1,3,1024,1439,250000,2024-07-16T04:00:00Z,N,1950,SRID=2272;POINT(2686069.69992917 227038.392658072),2008 S 27TH ST,12.429216196844383
1,3,1506,2525,287000,2024-06-14T04:00:00Z,N,1950,SRID=2272;POINT(2729434.92888431 268865.92893496),4017 MERIDIAN ST,12.567237494741757
2,3,1152,1368,256000,2024-07-18T04:00:00Z,Y,1950,SRID=2272;POINT(2719947.68187891 265466.535104386),6240 CARDIFF ST,12.4529327234617
1,3,1080,839,100000,2024-02-06T05:00:00Z,N,1935,SRID=2272;POINT(2701051.55528388 259799.016627503),435 W BRISTOL ST,11.512925464970229
3,3,1226,1175,247500,2024-07-10T04:00:00Z,Y,1925,SRID=2272;POINT(2674751.62193331 247814.743655624),5305 EUCLID ST,12.419165860990882
2,6,2856,2530,900000,2024-06-27T04:00:00Z,Y,1925,SRID=2272;POINT(2679087.62459465 234732.068303924),520 S 46TH ST,13.710150042306449
1,4,1560,1649,40000,2024-07-17T04:00:00Z,NA,1920,SRID=2272;POINT(2670752.25201655 234657.051784889),6052 WEBSTER ST,10.596634733096073
1,3,1170,983,155000,2024-07-15T04:00:00Z,N,1925,SRID=2272;POINT(2673709.00890181 222780.420144627),6909 THEODORE ST,11.951180395901384
1,2,912,2000,135000,2024-06-27T04:00:00Z,N,1910,SRID=2272;POINT(2717169.7181071 257264.941797777),4652 JAMES ST,11.813030057420567
2,3,1788,1195,180000,2024-05-09T04:00:00Z,N,1925,SRID=2272;POINT(2719645.47586518 254586.937922577),4641 SALMON ST,12.100712129872347
1,3,1092,1132,30000,2024-07-10T04:00:00Z,N,1925,SRID=2272;POINT(2710932.46134351 253644.764442045),3653 FRANKFORD AVE,10.308952660644293
1,3,1024,1264,209000,2024-06-24T04:00:00Z,N,1925,SRID=2272;POINT(2672409.13868501 244687.109762797),5783 STEWART ST,12.250089530946948
1,3,1380,1207,450000,2024-07-15T04:00:00Z,N,1920,SRID=2272;POINT(2688413.99242069 243334.394821025),886 N 27TH ST,13.017002861746503
1,3,960,1024,315000,2024-07-09T04:00:00Z,N,1920,SRID=2272;POINT(2694341.44429123 226421.186210156),922 MIFFLIN ST,12.66032791780777
1,3,990,938,230000,2024-07-08T04:00:00Z,N,1950,SRID=2272;POINT(2692347.39701258 279622.323292178),7802 TEMPLE RD,12.345834587905333
2,3,1152,1232,265000,2024-07-01T04:00:00Z,Y,1950,SRID=2272;POINT(2719270.91514935 271344.644773285),7041 LYNFORD ST,12.487485104968359
1,2,1020,495,320000,2024-07-12T04:00:00Z,N,1920,SRID=2272;POINT(2695176.77933263 231739.449455698),726 S PERCY ST,12.676076274775909
1,3,1200,1350,195000,2024-07-12T04:00:00Z,N,1935,SRID=2272;POINT(2724051.35552901 262717.420461927),6429 DITMAN ST,12.180754837545884
2,4,2295,857,920000,2024-06-25T04:00:00Z,Y,2013,SRID=2272;POINT(2689972.3558778 240553.019728232),549 N 23RD ST,13.732128949025222
1,3,1140,1137,135000,2024-07-15T04:00:00Z,N,1920,SRID=2272;POINT(2720769.20097087 259961.695746611),5550 TORRESDALE AVE,11.813030057420567
2,3,1398,1185,237900,2024-07-02T04:00:00Z,N,1925,SRID=2272;POINT(2718873.39417795 253587.162197796),4477 RICHMOND ST,12.37960569629105
1,2,1930,960,389900,2024-07-12T04:00:00Z,N,1900,SRID=2272;POINT(2675538.69330425 263512.343857961),4511 WILDE ST,12.87364557497069
1,3,1047,686,265000,2024-06-14T04:00:00Z,N,1920,SRID=2272;POINT(2691693.88440215 227922.735470807),1636 S HICKS ST,12.487485104968359
1,3,1360,3203,320000,2024-07-16T04:00:00Z,Y,1962,SRID=2272;POINT(2745519.55358117 291877.713754983),12631 CHILTON RD,12.676076274775909
2,4,1890,1000,850000,2024-07-09T04:00:00Z,Y,1920,SRID=2272;POINT(2698603.09401137 230554.395119459),126 QUEEN ST,13.652991628466498
1,3,1360,8153,250000,2024-07-12T04:00:00Z,NA,1973,SRID=2272;POINT(2747175.84547085 291052.95563461),12834 ELNORA RD,12.429216196844383
1,2,1216,864,479900,2024-07-11T04:00:00Z,Y,1925,SRID=2272;POINT(2690641.39959703 232709.066525235),1910 PEMBERTON ST,13.081333027846338
1,3,1080,904,201000,2024-06-12T04:00:00Z,N,1920,SRID=2272;POINT(2707700.39599609 248518.979048413),2960 CEDAR ST,12.211060187041213
0,0,1624,960,430000,2024-06-06T04:00:00Z,Y,1915,SRID=2272;POINT(2688636.41458494 232105.683658581),2308 CHRISTIAN ST,12.971540487669746
1,2,860,653,114900,2024-06-05T04:00:00Z,Y,1915,SRID=2272;POINT(2690481.8742159 252254.450271182),2515 W STERNER ST,11.651817463836847
1,3,1120,994,150000,2024-07-16T04:00:00Z,NA,1930,SRID=2272;POINT(2700633.90725056 256885.782455781),442 W BUTLER ST,11.918390573078392
1,3,1224,2907,300000,2024-07-16T04:00:00Z,Y,1959,SRID=2272;POINT(2737053.424692 279005.689174674),3435 PRIMROSE RD,12.611537753638338
1,3,1064,854,127500,2024-07-21T04:00:00Z,NA,1945,SRID=2272;POINT(2702265.36784046 255145.339009311),3518 MASCHER ST,11.755871643580617
2,3,1338,1418,145000,2024-06-03T04:00:00Z,N,1935,SRID=2272;POINT(2699366.20067359 263775.314636541),4947 N 10TH ST,11.884489021402711
3,4,2400,5547,565000,2024-06-20T04:00:00Z,Y,1925,SRID=2272;POINT(2684455.17350665 269714.754939597),6647 LINCOLN DR,13.244581010128577
2,3,1600,1476,425000,2024-07-01T04:00:00Z,Y,1988,SRID=2272;POINT(2685037.94314547 257022.70999728),3350 WIEHLE ST,12.959844447906553
1,3,1088,1440,255000,2024-06-25T04:00:00Z,Y,1950,SRID=2272;POINT(2690353.67084235 280953.887305257),8122 TEMPLE RD,12.449018824140563
1,2,900,1415,103000,2024-05-06T04:00:00Z,N,1930,SRID=2272;POINT(2673413.22555961 264918.398158863),4816 OGLE ST,11.542484267211773
1,3,1236,891,550000,2024-06-21T04:00:00Z,Y,1920,SRID=2272;POINT(2689395.80262767 242959.636470412),857 N 25TH ST,13.217673557208654
1,3,1332,3228,285000,2024-07-15T04:00:00Z,NA,1964,SRID=2272;POINT(2742116.39508191 279710.030206838),3714 S HEREFORD LN,12.560244459250788
1,3,1200,1125,175000,2024-07-12T04:00:00Z,N,1925,SRID=2272;POINT(2710653.96537161 257041.822482747),4043 M ST,12.072541252905651
1,5,1596,1638,130000,2024-06-20T04:00:00Z,NA,1915,SRID=2272;POINT(2673617.434247 244889.52138576),1665 N 56TH ST,11.77528972943772
3,3,1100,4675,589000,2024-07-15T04:00:00Z,Y,1983,SRID=2272;POINT(2678851.15670351 280537.717130162),127 REX AVE,13.286181462633724
1,3,1360,4151,350000,2024-07-09T04:00:00Z,Y,1973,SRID=2272;POINT(2744835.54791559 291796.987302904),12437 DUNKS FERRY RD,12.765688433465597
1,2,784,700,175000,2024-07-16T04:00:00Z,N,1920,SRID=2272;POINT(2685544.30611738 230123.079717228),1337 S HOLLYWOOD ST,12.072541252905651
1,3,900,720,127500,2024-06-03T04:00:00Z,N,1925,SRID=2272;POINT(2690253.32441081 253715.502465758),2961 N BAILEY ST,11.755871643580617
1,3,1200,1384,215000,2024-05-29T04:00:00Z,N,1940,SRID=2272;POINT(2720628.19696894 263148.029925003),6029 CHARLES ST,12.2783933071098
1,3,976,1680,437900,2024-07-08T04:00:00Z,N,1925,SRID=2272;POINT(2682787.85689682 279056.516321379),7825 DEVON ST,12.98974585278949
2,2,898,1,286659,2024-07-12T04:00:00Z,Y,1900,SRID=2272;POINT(2694511.41616002 237713.172317976),224 N CAMAC ST,12.566048635017902
3,5,3330,6875,425000,2024-07-02T04:00:00Z,Y,1925,SRID=2272;POINT(2686497.23439793 269720.119463827),119 W CLIVEDEN ST,12.959844447906553
2,2,1125,553,495000,2024-06-26T04:00:00Z,Y,1920,SRID=2272;POINT(2692007.59871899 233249.983566802),1616 NAUDAIN ST,13.112313041550827
